date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:35:57	6721/6721	---M--	200	added ('OK')	image/jpeg	date:Wed,%2030%20May%202018%2010:56:27%20GMT	http://pluginspoint.com/demo/i-finger-preview/05_film-town/img/home1/upcoming-s-4.jpg	C:/My%20Web%20Sites/Coba%20COba/pluginspoint.com/demo/i-finger-preview/05_film-town/img/home1/upcoming-s-4.jpg	(from http://pluginspoint.com/demo/i-finger-preview/05_film-town/index.html)
22:35:57	38423/38423	---M--	200	added ('OK')	image/jpeg	date:Wed,%2030%20May%202018%2010:56:25%20GMT	http://pluginspoint.com/demo/i-finger-preview/05_film-town/img/home1/upcoming-b-1.jpg	C:/My%20Web%20Sites/Coba%20COba/pluginspoint.com/demo/i-finger-preview/05_film-town/img/home1/upcoming-b-1.jpg	(from http://pluginspoint.com/demo/i-finger-preview/05_film-town/index.html)
22:35:59	13151/13151	---M--	200	added ('OK')	image/jpeg	date:Wed,%2030%20May%202018%2010:56:12%20GMT	http://pluginspoint.com/demo/i-finger-preview/05_film-town/img/home1/latest-1.jpg	C:/My%20Web%20Sites/Coba%20COba/pluginspoint.com/demo/i-finger-preview/05_film-town/img/home1/latest-1.jpg	(from http://pluginspoint.com/demo/i-finger-preview/05_film-town/index.html)
22:35:59	13813/13813	---M--	200	added ('OK')	image/jpeg	date:Wed,%2030%20May%202018%2010:56:13%20GMT	http://pluginspoint.com/demo/i-finger-preview/05_film-town/img/home1/latest-2.jpg	C:/My%20Web%20Sites/Coba%20COba/pluginspoint.com/demo/i-finger-preview/05_film-town/img/home1/latest-2.jpg	(from http://pluginspoint.com/demo/i-finger-preview/05_film-town/index.html)
22:35:59	11947/11947	---M--	200	added ('OK')	image/jpeg	date:Wed,%2030%20May%202018%2010:56:13%20GMT	http://pluginspoint.com/demo/i-finger-preview/05_film-town/img/home1/latest-3.jpg	C:/My%20Web%20Sites/Coba%20COba/pluginspoint.com/demo/i-finger-preview/05_film-town/img/home1/latest-3.jpg	(from http://pluginspoint.com/demo/i-finger-preview/05_film-town/index.html)
22:36:00	14063/14063	---M--	200	added ('OK')	image/jpeg	date:Wed,%2030%20May%202018%2010:56:14%20GMT	http://pluginspoint.com/demo/i-finger-preview/05_film-town/img/home1/latest-4.jpg	C:/My%20Web%20Sites/Coba%20COba/pluginspoint.com/demo/i-finger-preview/05_film-town/img/home1/latest-4.jpg	(from http://pluginspoint.com/demo/i-finger-preview/05_film-town/index.html)
22:36:03	24411/24411	---M--	200	added ('OK')	image/jpeg	date:Wed,%2030%20May%202018%2010:56:12%20GMT	http://pluginspoint.com/demo/i-finger-preview/05_film-town/img/home1/find-bg.jpg	C:/My%20Web%20Sites/Coba%20COba/pluginspoint.com/demo/i-finger-preview/05_film-town/img/home1/find-bg.jpg	(from http://pluginspoint.com/demo/i-finger-preview/05_film-town/index.html)
22:36:04	26009/26009	---M--	200	added ('OK')	image/jpeg	date:Wed,%2030%20May%202018%2010:56:11%20GMT	http://pluginspoint.com/demo/i-finger-preview/05_film-town/img/home1/about-movie-banner.jpg	C:/My%20Web%20Sites/Coba%20COba/pluginspoint.com/demo/i-finger-preview/05_film-town/img/home1/about-movie-banner.jpg	(from http://pluginspoint.com/demo/i-finger-preview/05_film-town/index.html)
22:36:05	7010/7010	---M--	200	added ('OK')	image/jpeg	date:Wed,%2030%20May%202018%2010:56:15%20GMT	http://pluginspoint.com/demo/i-finger-preview/05_film-town/img/home1/latest-news-s-1.jpg	C:/My%20Web%20Sites/Coba%20COba/pluginspoint.com/demo/i-finger-preview/05_film-town/img/home1/latest-news-s-1.jpg	(from http://pluginspoint.com/demo/i-finger-preview/05_film-town/index.html)
22:36:05	2564/2564	---M--	200	added ('OK')	image/png	date:Wed,%2030%20May%202018%2010:56:18%20GMT	http://pluginspoint.com/demo/i-finger-preview/05_film-town/img/home1/logo2.png	C:/My%20Web%20Sites/Coba%20COba/pluginspoint.com/demo/i-finger-preview/05_film-town/img/home1/logo2.png	(from http://pluginspoint.com/demo/i-finger-preview/05_film-town/index.html)
22:36:06	5384/5384	---M--	200	added ('OK')	image/jpeg	date:Wed,%2030%20May%202018%2010:56:16%20GMT	http://pluginspoint.com/demo/i-finger-preview/05_film-town/img/home1/latest-news-s-2.jpg	C:/My%20Web%20Sites/Coba%20COba/pluginspoint.com/demo/i-finger-preview/05_film-town/img/home1/latest-news-s-2.jpg	(from http://pluginspoint.com/demo/i-finger-preview/05_film-town/index.html)
22:36:09	57250/57250	---M--	200	added ('OK')	image/jpeg	date:Wed,%2030%20May%202018%2010:56:15%20GMT	http://pluginspoint.com/demo/i-finger-preview/05_film-town/img/home1/latest-news-b-1.jpg	C:/My%20Web%20Sites/Coba%20COba/pluginspoint.com/demo/i-finger-preview/05_film-town/img/home1/latest-news-b-1.jpg	(from http://pluginspoint.com/demo/i-finger-preview/05_film-town/index.html)
22:36:10	1331/1331	---M--	200	added ('OK')	application/javascript	date:Wed,%2030%20May%202018%2010:44:30%20GMT	http://pluginspoint.com/demo/i-finger-preview/05_film-town/js/jquery.counterup.min.js	C:/My%20Web%20Sites/Coba%20COba/pluginspoint.com/demo/i-finger-preview/05_film-town/js/jquery.counterup.min.js	(from http://pluginspoint.com/demo/i-finger-preview/05_film-town/index.html)
22:36:12	4552/4552	---M--	200	added ('OK')	application/javascript	date:Wed,%2030%20May%202018%2010:44:26%20GMT	http://pluginspoint.com/demo/i-finger-preview/05_film-town/js/countdown.js	C:/My%20Web%20Sites/Coba%20COba/pluginspoint.com/demo/i-finger-preview/05_film-town/js/countdown.js	(from http://pluginspoint.com/demo/i-finger-preview/05_film-town/index.html)
22:36:14	1770/1770	---M--	200	added ('OK')	application/javascript	date:Wed,%2030%20May%202018%2010:44:35%20GMT	http://pluginspoint.com/demo/i-finger-preview/05_film-town/js/parallax.js	C:/My%20Web%20Sites/Coba%20COba/pluginspoint.com/demo/i-finger-preview/05_film-town/js/parallax.js	(from http://pluginspoint.com/demo/i-finger-preview/05_film-town/index.html)
22:36:15	42766/42766	---M--	200	added ('OK')	application/javascript	date:Wed,%2030%20May%202018%2010:44:37%20GMT	http://pluginspoint.com/demo/i-finger-preview/05_film-town/js/owl.carousel.min.js	C:/My%20Web%20Sites/Coba%20COba/pluginspoint.com/demo/i-finger-preview/05_film-town/js/owl.carousel.min.js	(from http://pluginspoint.com/demo/i-finger-preview/05_film-town/index.html)
22:36:18	86596/86596	---M--	200	added ('OK')	application/javascript	date:Wed,%2030%20May%202018%2010:44:29%20GMT	http://pluginspoint.com/demo/i-finger-preview/05_film-town/js/jquery-3.2.0.min.js	C:/My%20Web%20Sites/Coba%20COba/pluginspoint.com/demo/i-finger-preview/05_film-town/js/jquery-3.2.0.min.js	(from http://pluginspoint.com/demo/i-finger-preview/05_film-town/index.html)
